id,data_type,expression,time_expression,note,provenance_slug
1,flow,"round(greatest(0, 0.189876 * g8::Mohawk_Springfield_merge::flow + 1.11498 * uP::Wiley_Foster_merge::flow + 0.152599 * rq::14188800::flow +19.26))",g8::Mohawk_Springfield_merge::flow uP::Wiley_Foster_merge::flow rq::14188800::flow,"Calapooia at Holley estimated from Mohawk (14165000), Wiley (14187000), and Thomas (14188800) via OLS fit against USGS 14172000 (Calapooia R at Holley, retired 1990-09-30). n=3592 daily means / ~10 yr effective overlap 1962-10-01..1973-07-31 (predictor gaps truncate the nominal 28 yr window). r2=0.9846, RMSE=80.9 cfs. Sub-window stable (Mohawk 0.18-0.20, Wiley 0.98-1.12, Thomas 0.15-0.18). USGS 14173500 (Calapooia at Albany, same river downstream) was bootstrap-tested and rejected (95% CI crosses zero, CV-RMSE no improvement). Calc gauge co-located with the historical USGS site, so no drainage-area scaling applied. Replaces a legacy formula that overpredicted by ~15% at typical flows. See regression/calapooia_14172000_from_mohawk_wiley_thomas.md.",calapooia_14172000_from_mohawk_wiley_thomas
2,flow,"round(greatest(0, 0.248113 * q::14306500::flow +27.4))",q::14306500::flow,"Drift Cr (Alsea) at take-out estimated from Alsea-near-Tidewater (USGS 14306500). Underlying OLS fit against USGS 14306600 (Drift near Salado, retired 1970-09-29): slope 0.0748577, intercept 8.266, r2=0.9152, RMSE=51.2 cfs, n=3802 daily means / ~10.4 yr overlap 1958-09-01..1970-09-29. Coefficients here are scaled by drainage-area ratio 3.3145 = 176.73 km^2 (take-out per NHD HR) / 53.32 km^2 (Salado gauge). Window-stable: pre-scale slope 0.0698-0.0749 across 2.1-10.4 yr sub-windows. Heteroscedastic at high flow (Q5 residual std 105 cfs at gauge, ~350 cfs at take-out). See regression/drift_alsea_14306600_from_14306500.md.",drift_alsea_14306600_from_14306500
3,flow,"round(greatest(0, 0.25 * oN::14305500::flow))",oN::14305500::flow,"Drift Cr (Siletz) estimated as 0.25 * Siletz-at-Siletz (USGS 14305500). Drainage-area-ratio scalar, NOT a regression fit. No historical USGS gauge exists on Drift Creek in the Siletz drainage. Refit if a state or local gauge becomes available.",
4,flow,"round(greatest(0, 0.194065 * q::14306500::flow -9.519))",q::14306500::flow,"NF Alsea estimated from Alsea-near-Tidewater (USGS 14306500) via OLS fit against USGS 14306100 (NF Alsea at Alsea, retired 1989-09-29). n=11687 daily means / ~32 yr overlap 1957-10-01..1989-09-29, r2=0.9563, RMSE=96.3 cfs. Slope window-stable (0.188-0.194 across 17-32 yr sub-windows). Heteroscedastic at high flow (Q5 residual std 209 cfs). Calc gauge co-located with the historical USGS site at the NF and main Alsea confluence, so no drainage-area scaling applied. See regression/nf_alsea_14306100_from_14306500.md.",nf_alsea_14306100_from_14306500
5,flow,"round(greatest(0, 0.439612 * fl::14147500::flow +78.71))",fl::14147500::flow,"Salmon Cr near Oakridge estimated from NFMF Willamette (USGS 14147500) via OLS fit against USGS 14146500 (Salmon Cr near Oakridge, retired 1994-06-13). n=21958 daily means / ~60 yr overlap 1913-02-01..1994-06-13, r2=0.9524, RMSE=84.5 cfs. Hills Cr above Hills Cr Reservoir (USGS 14144900) was tested as a second predictor and rejected: real-time flow stopped publishing 1981-09-29 even though gauge-height continues, so 14144900 cannot drive a live calc. Replaces a legacy Salmon = NFMF/3 drainage-area-ratio guess that underpredicted by ~166 cfs on average. Calc gauge co-located with the historical USGS site (mid-reach, ~6 mi upstream of the reach take-out), so no drainage-area scaling applied. See regression/salmon_14146500_from_nfmf.md.",salmon_14146500_from_nfmf
6,flow,"round(greatest(0, 0.110684 * q::14306500::flow -1.406))",q::14306500::flow,"SF Alsea estimated from Alsea-near-Tidewater (USGS 14306500) via OLS fit against USGS 14306200 (S Fork Alsea River near Alsea, retired 1963-09-29). n=1094 daily means / ~3 yr overlap 1960-10-01..1963-09-29, r2=0.9649, RMSE=47.9 cfs. Short period of record (only three particular wet/dry seasons sampled). Heteroscedastic at high flow (Q5 residual std 103 cfs). Calc gauge co-located with the historical USGS site near the SF and main Alsea confluence, so no drainage-area scaling applied. See regression/sf_alsea_14306200_from_14306500.md.",sf_alsea_14306200_from_14306500
7,flow,"round(greatest(0, 0.0883604 * oN::14305500::flow -21.14))",oN::14305500::flow,"Sunshine Cr at confluence estimated from Siletz-at-Siletz (USGS 14305500). Underlying OLS fit against USGS 14304350 (Sunshine Cr near Valsetz, retired 1991-09-29): slope 0.0503754, intercept -12.05, r2=0.9072, RMSE=28.7 cfs, n=2190 daily means / 6 yr overlap 1985-10-01..1991-09-29. Coefficients here are scaled by drainage-area ratio 1.754 = 11.91 sq mi (take-out per NHD HR) / 6.79 sq mi (USGS gauge per NHD HR, matches USGS-published 6.7). Replaces a legacy 4-predictor fit (Siletz, Alsea, Luckiamute, Siuslaw) whose coefficients reproduce on refit, but bootstrap variable selection showed that 95% of the variance reduction comes from Siletz alone (CV-RMSE 29.2 single-predictor vs 24.7 with all 4). Simplified to single-predictor for transparency. See regression/sunshine_14304350_from_14305500.md.",sunshine_14304350_from_14305500
9,flow,"round(greatest(0, hd::Hood_Tucker_merge::flow - wf::WFHO3::flow))",hd::Hood_Tucker_merge::flow wf::WFHO3::flow,EF+MF Hood = Tucker - WF Hood,
10,flow,"round(greatest(0, fa::Fall_Creek_Inflow::inflow - wb::14150800::flow), 1)",fa::Fall_Creek_Inflow::inflow wb::14150800::flow,Fall Creek above Winberry: total reservoir inflow minus Winberry tributary,
11,flow,al::Applegate_Lake::inflow,al::Applegate_Lake::inflow,MF Applegate flow = Applegate Lake inflow (single tributary at reservoir),
