id,title,subtitle,edition,author,url,sort_order,short_label
2,Soggy Sneakers,Guide to Oregon Rivers,3rd,Willamette Kayak and Canoe Club,https://www.wkcc.org,30,SS3
3,Soggy Sneakers,Guide to Oregon Rivers,4th,Willamette Kayak and Canoe Club,https://www.wkcc.org,20,SS4
4,Soggy Sneakers,Guide to Oregon Rivers,5th,Willamette Kayak and Canoe Club,https://www.wkcc.org,10,SS5
5,Idaho,The Whitewater State,1st,Grant Amaral,https://www.goodreads.com/book/show/1231857.Idaho_the_Whitewater_State,60,ID
6,A Guide to the Whitewater Rivers of Washington,,2nd,Jeff and Tonya Bennet,https://www.goodreads.com/book/show/2625965-a-guide-to-the-whitewater-rivers-of-washington--over-320-trips-for-raft,70,WA
7,Paddling Oregon,,,Robb Keller,https://www.goodreads.com/book/show/1328369.Paddling_Oregon,55,PO
9,Soggy Sneakers,Guide to Oregon Rivers,1st,Willamette Kayak and Canoe Club,https://www.wkcc.org,40,SS1
10,Oregon Kayaking,,,Jason Rackley,https://www.oregonkayaking.net,85,OK
11,Dreamflows,,,Dreamflows,https://www.dreamflows.com,80,DF
12,Mt Hood H2O,Northwest whitewater kayaking blog,,Jacob Cruser,https://mthoodh2o.blogspot.com,90,MH2O
13,Whitewater Guidebook,,,,https://www.whitewaterguidebook.com,130,WWG
14,PacifiCorp Hydro Recreation,Release schedules and current flows,,PacifiCorp,https://www.pacificorp.com/community/recreation/water-release.html,100,PAC
